mph,lat,lon,bz_vz,bz_sp
47.224,42.330808,-83.886805,86.179,53.519
46.603,42.330808,-83.886868,86.278,111.213
45.981,42.330808,-83.886868,83.246,108.701
45.36,42.330808,-83.886868,84.039,90.49
44.117,42.330812,-83.886932,76.77,60.474
43.496,42.330812,-83.886932,89.717,74.745
42.875,42.330812,-83.886932,94.295,130.228
42.875,42.330818,-83.887,80.029,65.706
42.253,42.330818,-83.887,89.105,136.931
42.253,42.330818,-83.887,82.176,163.463
42.875,42.330822,-83.887068,178.013,140.991
43.496,42.330822,-83.887068,130.97,67.384
43.496,42.330822,-83.887068,77.037,125.714
44.117,42.330825,-83.887132,143.652,139.065
43.496,42.330825,-83.887132,103.732,122.311
44.739,42.330825,-83.887132,70.858,59.771
44.739,42.330825,-83.887132,77.449,131.178
44.739,42.330825,-83.887132,61.686,63.937
44.739,42.330825,-83.887132,61.997,13316.758
44.117,42.330825,-83.887183,60.039,12386.75
44.117,42.330825,-83.887183,79.32,11344.7
44.739,42.330825,-83.887183,88.197,10352.398
45.36,42.330823,-83.887228,70.59,9305.17
45.981,42.330823,-83.887228,63.197,8260.609
46.603,42.330823,-83.887228,76.827,7213.464
47.224,42.330813,-83.887273,97.044,6167.627
48.467,42.330813,-83.887273,72.053,5128.681
49.088,42.330813,-83.887273,86.286,4080.321
50.331,42.330797,-83.887313,90.156,3037.8
50.952,42.330797,-83.887313,57.443,1995.4
50.331,42.330797,-83.887313,92.32,952.957
50.331,42.330763,-83.887345,82.563,48.293
49.71,42.330763,-83.887345,72.538,124.649
49.088,42.330763,-83.887345,73.66,50.591
49.71,42.330763,-83.887345,68.551,111.526
49.71,42.330763,-83.887345,80.209,115.698
50.331,42.330763,-83.887345,83.817,109.425
50.331,42.330715,-83.887363,71.71,47.979
50.331,42.330715,-83.887363,58.372,71.507
49.71,42.330715,-83.887363,80.401,51.414
50.331,42.330653,-83.88737,85.972,115.742
50.331,42.330653,-83.88737,92.952,112.154
50.331,42.330653,-83.88737,96.428,54.217
